Shape,Time(s),Recall,F1 score,Precision,window size,kmer
64,3.8,0.311,0.469,0.952,6,12
64,3.97,0.315,0.474,0.952,6,11
64,5.14,0.319,0.478,0.951,6,10
64,5.28,0.325,0.484,0.95,6,9
32,2.92,0.284,0.438,0.955,6,18
32,3.11,0.288,0.443,0.955,6,17
32,3.23,0.29,0.445,0.954,6,16
32,3.28,0.292,0.447,0.954,6,15
32,3.46,0.3,0.456,0.954,6,14
32,3.59,0.303,0.46,0.954,6,13
32,3.79,0.311,0.469,0.952,6,12
32,3.97,0.315,0.474,0.952,6,11
32,4.07,0.319,0.478,0.951,6,10
32,4.23,0.325,0.484,0.95,6,9
16,2.86,0.284,0.438,0.955,6,18
16,3.1,0.288,0.443,0.955,6,17
16,3.18,0.29,0.445,0.954,6,16
16,3.26,0.292,0.447,0.954,6,15
16,3.4,0.3,0.456,0.954,6,14
16,3.57,0.303,0.46,0.954,6,13
16,3.73,0.311,0.469,0.952,6,12
16,3.9,0.315,0.474,0.952,6,11
16,4.16,0.319,0.478,0.951,6,10
16,4.22,0.325,0.484,0.95,6,9
8,2.93,0.284,0.438,0.955,6,18
8,3.01,0.288,0.443,0.955,6,17
8,3.2,0.29,0.445,0.954,6,16
8,3.28,0.292,0.447,0.954,6,15
8,3.42,0.3,0.456,0.954,6,14
8,3.55,0.303,0.46,0.954,6,13
8,3.75,0.311,0.469,0.952,6,12
8,3.89,0.315,0.474,0.952,6,11
8,4.17,0.319,0.478,0.951,6,10
8,4.32,0.325,0.484,0.95,6,9
4,2.89,0.284,0.437,0.953,6,18
4,3.03,0.288,0.443,0.954,6,17
4,3.16,0.29,0.445,0.953,6,16
4,3.24,0.292,0.447,0.953,6,15
4,3.47,0.3,0.456,0.953,6,14
4,3.58,0.303,0.46,0.953,6,13
4,3.74,0.311,0.469,0.951,6,12
4,4.02,0.315,0.474,0.951,6,11
4,4.08,0.319,0.478,0.95,6,10
4,4.36,0.325,0.484,0.949,6,9
2,2.44,0.284,0.437,0.954,6,18
2,3.01,0.288,0.443,0.954,6,17
2,3.14,0.29,0.445,0.954,6,16
2,3.3,0.292,0.447,0.954,6,15
2,3.41,0.3,0.456,0.953,6,14
2,3.54,0.303,0.46,0.953,6,13
2,3.76,0.311,0.469,0.951,6,12
2,3.88,0.315,0.474,0.951,6,11
2,4.06,0.319,0.478,0.95,6,10
2,4.22,0.325,0.484,0.949,6,9
64,1.56,0.225,0.365,0.963,7,18
64,2.08,0.265,0.415,0.96,7,17
64,2.51,0.287,0.442,0.958,7,16
64,2.93,0.302,0.459,0.956,7,15
64,3.38,0.317,0.475,0.953,7,14
64,3.83,0.329,0.489,0.951,7,13
64,4.16,0.336,0.497,0.95,7,12
64,4.57,0.342,0.503,0.949,7,11
64,4.99,0.351,0.513,0.947,7,10
64,5.91,0.359,0.521,0.946,7,9
32,1.64,0.225,0.365,0.963,7,18
32,2.05,0.265,0.415,0.96,7,17
32,2.48,0.287,0.442,0.958,7,16
32,2.91,0.302,0.459,0.956,7,15
32,3.48,0.317,0.475,0.953,7,14
32,3.87,0.329,0.489,0.951,7,13
32,4.24,0.336,0.497,0.95,7,12
