Marine,,,Cami,,
Window size,Seed hits,Kmer,Window size,Seed hits,Kmer
8,607723,15,8,1358889,15
9,606972,15,9,1195909,15
10,605686,15,10,1181186,15
11,604567,15,11,1180067,15
12,602525,15,12,1179767,15
13,600506,15,13,1170672,15
14,571399,15,14,1169653,15
