,Time(s),Accuracy,Memory(KB)
VAT,438,96.66%,30808932
STARlong,482,8.41%,31336968
Minimap2,594,94.51%,26951740
GMAP,12900,73.65%,10429536
BLASR,4992,95.01%,24900720
Graphmap2,20460,96.45%,107260748
