,Time(s),Matches,Memory(KB)
VSEARCH,> 3 days,,
BLASR,9338,32575414,21986760
pblat,> 3 days,,
Minimap2,617,7062721,17865996
BWA MEM,1440,8470532,25474408
Bowtie2,1080,5553208,3901448
VAT,239,9928006,23785180
